"PROBEID","SYMBOL","GENENAME","UNIPROT"
"24690-1","CABP2","calcium binding protein 2","F1T0K2"
"24693-5","CLIC3","chloride intracellular channel 3","O95833"
"24694-158","NHERF1","NHERF family PDZ scaffold protein 1","B2R6A3"
"24695-8","PLEKHB1","pleckstrin homology domain containing B1","Q59EU5"
"24696-14","MAGIX","MAGI family member, X-linked","A0A087WUY6"
"24697-48","HNRNPA0","heterogeneous nuclear ribonucleoprotein A0","Q13151"
"24698-12","PRPF18","pre-mRNA processing factor 18","B2RBU0"
"24699-20","ARL6IP1","ARL6 interacting reticulophagy regulator 1","B7Z6R9"
"24701-21","DTNA","dystrobrevin alpha","A0A7P0TAN3"
"24702-31","CCDC149","coiled-coil domain containing 149","A0A8V8PSJ6"
"24704-38","COMMD5","COMM domain containing 5","D3DWN7"
"24706-73","CFDP1","craniofacial development protein 1","B2R9W9"
"24707-6","CXorf38","chromosome X open reading frame 38","Q8TB03"
"24708-7","DHRS3","dehydrogenase/reductase 3","A0AAQ5BI35"
"24710-1","MTUS2","microtubule associated scaffold protein 2","A7E292"
"24711-21","SHOX","SHOX homeobox","O00412"
"24712-6","GTPBP10","GTP binding protein 10","A4D1E9"
"24713-4","MAGIX","MAGI family member, X-linked","A0A087WUY6"
"24717-26","PTPA","protein phosphatase 2 phosphatase activator","A6PVN5"
"24718-8","LRRC75A","leucine rich repeat containing 75A","B7ZMA3"
"24720-10","ANKRD16","ankyrin repeat domain 16","A6NEF0"
"24721-17","GOLPH3","golgi phosphoprotein 3","B4DWL6"
"24722-13","SPIN3","spindlin family member 3","B2RUW3"
"24723-58","EIF2S2","eukaryotic translation initiation factor 2 subunit beta","B5BU01"
"24724-4","VPS26B","VPS26 retromer complex component B","Q4G0F5"
"24725-4","COPS5","COP9 signalosome subunit 5","A0A024R7W9"
"2474-54","APCS","amyloid P component, serum","P02743"
"2475-1","KIT","KIT proto-oncogene, receptor tyrosine kinase","A0A8I5KPX7"
"2480-58","TIMP3","TIMP metallopeptidase inhibitor 3","B2RBY9"
"24891-54","EPS8L2","EPS8 signaling adaptor L2","A0A3B3ISQ4"
"24892-8","SHCBP1L","SHC binding and spindle associated 1 like","Q9BZQ2"
"24895-25","FCHSD1","FCH and double SH3 domains 1","E5RGT6"
"24896-5","MEN1","menin 1","A0A8C8KI72"
"24898-39","SCFD1","sec1 family domain containing 1","A0A7I2V4R0"
"24899-13","EPS8L1","EPS8 signaling adaptor L1","B4DKV7"
"24900-46","VPS9D1","VPS9 domain containing 1","H3BM58"
"24901-4","VIL1","villin 1","B2R9A7"
"24902-84","GPHN","gephyrin","B7Z4J7"
"24903-7","KLHL14","kelch like family member 14","A6NNW1"
"24904-121","STXBP4","syntaxin binding protein 4","E7EPP7"
"24905-22","EOLA1","endothelium and lymphocyte associated ASCH domain 1","A0A0A0MTB5"
"24907-3","PMPCA","peptidase, mitochondrial processing subunit alpha","Q10713"
"24908-19","AMPH","amphiphysin","A4D1X8"
"24909-40","PLCD1","phospholipase C delta 1","Q5HYD7"
"24910-18","NONO","non-POU domain containing octamer binding","A0A0S2Z4Z9"
"24911-57","MVP","major vault protein","X5DNU0"
"24912-40","WDR26","WD repeat domain 26","A0A7P0SXD0"
"24914-10","EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","B2RAQ1"
"24915-123","CAPN13","calpain 13","A8K2N3"
"24917-95","DNAJC1","DnaJ heat shock protein family (Hsp40) member C1","B0YIZ8"
"24920-6","GLS","glutaminase","A8K132"
"24921-73","HIRIP3","HIRA interacting protein 3","Q9BW71"
"24922-19","NHLRC2","NHL repeat containing 2","Q8N1H1"
"24923-27","SCRN3","secernin 3","Q0VDG4"
"24926-9","KHSRP","KH-type splicing regulatory protein","A0A384P5V3"
"24928-20","MZT2A","mitotic spindle organizing protein 2A","A0A494C0V9"
"24929-26","SOX6","SRY-box transcription factor 6","P35712"
"24931-9","EPS8L3","EPS8 signaling adaptor L3","A8K2J6"
"24934-96","OGFR","opioid growth factor receptor","O96029"
"24935-62","FOXP1","forkhead box P1","Q9H334"
"24937-7","ARHGAP26","Rho GTPase activating protein 26","A0A0S2Z536"
"24938-7","AP2B1","adaptor related protein complex 2 subunit beta 1","A0A140VJE8"
"24940-3","IKBKB","inhibitor of nuclear factor kappa B kinase subunit beta","A0A499FJS7"
"24941-14","CLUH","clustered mitochondria homolog","A0A494C0R8"
"24942-22","UNC13D","unc-13 homolog D","B4DWG9"
"24944-12","REPS2","RALBP1 associated Eps domain containing 2","Q8NFH8"
"24945-16","SNX27","sorting nexin 27","Q32Q36"
"24946-9","ARHGAP22","Rho GTPase activating protein 22","A0A2X0SFC0"
"24947-40","NUMBL","NUMB like endocytic adaptor protein","A0A0C4DGH3"
"24948-79","PSPC1","paraspeckle component 1","B4DWI8"
"24950-21","C1orf116","chromosome 1 open reading frame 116","Q9BW04"
"24951-3","VAC14","VAC14 component of PIKFYVE complex","B3KPJ5"
"24952-28","FUBP3","far upstream element binding protein 3","A3KFK8"
"24953-27","KIF3B","kinesin family member 3B","B2RMP4"
"24954-83","AP1B1","adaptor related protein complex 1 subunit beta 1","C9JRD1"
"24955-116","ZHX2","zinc fingers and homeoboxes 2","Q9Y6X8"
"24956-1","METTL3","methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit","O14736"
"24957-6","ESPN","espin","B1AK53"
"24958-3","RFX5","regulatory factor X5","B2R5R9"
"24959-20","CYB5R4","cytochrome b5 reductase 4","B1AEM2"
"24960-48","HIP1R","huntingtin interacting protein 1 related","B3KQW8"
"24962-7","SH3KBP1","SH3 domain containing kinase binding protein 1","A0A8V8TQD8"
"24963-1","ARMC3","armadillo repeat containing 3","Q5W041"
"24967-4","PCDH1","protocadherin 1","B4E2D8"
"24968-10","TIAM2","TIAM Rac1 associated GEF 2","B7Z624"
"24970-117","SRRT","serrate, RNA effector molecule","Q9BXP5"
"24971-2","INPP5F","inositol polyphosphate-5-phosphatase F","Q9Y2H2"
"24973-11","MICALL1","MICAL like 1","A0A7P0T9P2"
"24975-3","FCRLA","Fc receptor like A","Q6MZF2"
"24977-18","VILL","villin like","A0A0S2Z5H2"
"24979-17","EIF3B","eukaryotic translation initiation factor 3 subunit B","A4D208"
"24981-8","DYNC1LI1","dynein cytoplasmic 1 light intermediate chain 1","B4DDM4"
"24982-33","PALS1","protein associated with LIN7 1, MAGUK p55 family member","A8K5C5"
"24983-119","ERC1","ELKS/RAB6-interacting/CAST family member 1","G8JLD3"
"2500-2","ANGPT4","angiopoietin 4","Q9Y264"
"2501-51","CDH1","cadherin 1","A0A0E3XJU3"
"25033-194","VCP","valosin containing protein","A0A7P0T8A3"
"25036-10","RANGAP1","Ran GTPase activating protein 1","B4DY16"
"25037-4","DNPEP","aspartyl aminopeptidase","B7Z7F0"
"25038-5","WEE2","WEE2 oocyte meiosis inhibiting kinase","P0C1S8"
"25039-10","KLHL3","kelch like family member 3","Q9UH77"
"25041-11","PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","B2R6L2"
"25042-3","ME2","malic enzyme 2","A0A1W2PQF8"
"25043-74","OXCT1","3-oxoacid CoA-transferase 1","A0A024R040"
"25048-30","PACSIN2","protein kinase C and casein kinase substrate in neurons 2","A0A0U1RR22"
"25049-8","SCP2","sterol carrier protein 2","P22307"
"2505-49","GFRA3","GDNF family receptor alpha 3","A0AAQ5BI95"
"25050-82","TPP2","tripeptidyl peptidase 2","A0A494C0U1"
"25051-104","FTO","FTO alpha-ketoglutarate dependent dioxygenase","A2RUH1"
"25052-3","CRLF3","cytokine receptor like factor 3","A6NJF3"
"25053-1","DYNC1LI2","dynein cytoplasmic 1 light intermediate chain 2","O43237"
"25054-15","PRPF19","pre-mRNA processing factor 19","Q9UMS4"
"25055-56","OSBP","oxysterol binding protein","P22059"
"25057-2","ACTN4","actinin alpha 4","A0A8V8TL71"
"25058-23","PITPNM3","PITPNM family member 3","A1A5C9"
"25059-18","HDAC6","histone deacetylase 6","A0A8V8TKY7"
"25060-18","ME1","malic enzyme 1","A8K168"
"25061-8","ELMO2","engulfment and cell motility 2","Q5JVZ5"
"25064-34","INPP4A","inositol polyphosphate-4-phosphatase type I A","A0A9L9PY55"
"25065-22","MYBPH","myosin binding protein H","Q13203"
"25066-32","GYG2","glycogenin 2","Q1ZYL7"
"25068-131","GLUD2","glutamate dehydrogenase 2","A0A140VK14"
"25070-18","MICAL1","microtubule associated monooxygenase, calponin and LIM domain containing 1","A0A1S5UZH2"
"25072-11","CHD1L","chromodomain helicase DNA binding protein 1 like","X5D2E5"
"25073-13","UBE4A","ubiquitination factor E4A","B0YJB6"
"25074-119","GK5","glycerol kinase 5","B2R9I2"
"25075-2","ZBTB10","zinc finger and BTB domain containing 10","A4FVD0"
"25076-2","SELENBP1","selenium binding protein 1","Q13228"
"25078-13","ATG4C","autophagy related 4C cysteine peptidase","A0A384MTY5"
"25080-16","UGT2B15","UDP glucuronosyltransferase family 2 member B15","A6NDX0"
"25081-6","FHIP2A","FHF complex subunit HOOK interacting protein 2A","A0AA34QVS8"
"25082-3","WASL","WASP like actin nucleation promoting factor","A1JUI9"
"25083-26","DIAPH1","diaphanous related formin 1","A0RZB8"
"25085-37","ASPSCR1","ASPSCR1 tether for SLC2A4, UBX domain containing","Q9BZE9"
"25086-83","GRAMD2B","GRAM domain containing 2B","E9PD09"
"25087-11","DTNA","dystrobrevin alpha","A0A7P0TAN3"
"25088-42","PHKA1","phosphorylase kinase regulatory subunit alpha 1","A6NIT2"
"25089-21","TRIM28","tripartite motif containing 28","B2R8R5"
"25091-83","SRGAP2","SLIT-ROBO Rho GTPase activating protein 2","B7ZM87"
"25092-32","DDX1","DEAD-box helicase 1","A0A7I2V4F0"
"25093-96","VANGL1","VANGL planar cell polarity protein 1","Q8TAA9"
"25094-9","ACSS2","acyl-CoA synthetase short chain family member 2","Q6DKJ3"
"25095-1","SNCAIP","synuclein alpha interacting protein","Q9NVG1"
"25096-58","MYBPC2","myosin binding protein C2","A0A140VJQ0"
"25099-4","CADPS2","calcium dependent secretion activator 2","X5DNG0"
"25100-11","CMIP","c-Maf inducing protein","B7Z942"
"25102-23","ELP1","elongator acetyltransferase complex subunit 1","A0A6Q8PGW3"
"25103-45","VPS53","VPS53 subunit of GARP complex","A0A7P0Z400"
"25104-10","TFCP2L1","transcription factor CP2 like 1","Q4ZG43"
"25105-70","EIF2A","eukaryotic translation initiation factor 2A","Q9BY44"
"25105-87","EIF2A","eukaryotic translation initiation factor 2A","Q9BY44"
"25108-6","ATE1","arginyltransferase 1","A0A8I5KZ28"
"25110-19","EXOC7","exocyst complex component 7","Q5G0E1"
"25111-24","RAD18","RAD18 E3 ubiquitin protein ligase","Q53H10"
"25112-6","RPS6KB2","ribosomal protein S6 kinase B2","B2RMZ9"
"25114-256","TBC1D24","TBC1 domain family member 24","A0A2R8Y518"
"25115-21","FHOD1","formin homology 2 domain containing 1","A0A068F7M9"
"25116-11","CCDC9","coiled-coil domain containing 9","B4DXW2"
"25117-17","PGM5","phosphoglucomutase 5","B1AM46"
"25118-45","BICD1","BICD cargo adaptor 1","Q96G01"
"25121-7","NOMO2","NODAL modulator 2","A0A0G2JN29"
"25123-198","APEX2","apurinic/apyrimidinic endodeoxyribonuclease 2","B4DWI9"
"25124-21","ZBTB7A","zinc finger and BTB domain containing 7A","D6W619"
"25125-7","STAC","SH3 and cysteine rich domain","B4DR96"
"25126-19","HECW2","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2","A0A2C9F2N4"
"2513-7",NA,NA,NA
"2514-65","EFNB3","ephrin B3","B2RBW2"
"2515-14","GFRA2","GDNF family receptor alpha 2","B4DS89"
"2516-57","CCL21","C-C motif chemokine ligand 21","O00585"
"25209-15","FXYD2","FXYD domain containing ion transport regulator 2","P54710"
"25211-14","GNG12","G protein subunit gamma 12","Q69YP5"
"25215-1","TIMM10","translocase of inner mitochondrial membrane 10","A8K136"
"25216-8","S100A8","S100 calcium binding protein A8","P05109"
"25217-35","SPANXA1","sperm protein associated with the nucleus, X-linked, family member A1","A0FGV1"
"25218-10","SPCS1","signal peptidase complex subunit 1","A0A5F9YFS9"
"25219-17","ATP6V1F","ATPase H+ transporting V1 subunit F","Q16864"
"25220-8","CYSRT1","cysteine rich tail 1","A8MQ03"
"25225-14","FTHL17","ferritin heavy chain like 17","A0A384NPV7"
"25227-20","TCEAL2","transcription elongation factor A like 2","B2R5C7"
"2523-31","CCL5","C-C motif chemokine ligand 5","A0A075B7C5"
"25232-4","EHD3","EH domain containing 3","B4DFR5"
"25233-2","MPI","mannose phosphate isomerase","E7ENB3"
"25235-2","DPH7","diphthamide biosynthesis 7","Q96AB7"
"25236-11","METTL26","methyltransferase like 26","Q96S19"
"25238-6","BCL2L14","BCL2 like 14","A8KAD0"
"2524-56","HMGB1","high mobility group box 1","A5D8W9"
"25240-1","EEF2KMT","eukaryotic elongation factor 2 lysine methyltransferase","K7ES84"
"25242-12","CATIP","ciliogenesis associated TTC17 interacting protein","Q7Z7H3"
"25244-9","HECTD3","HECT domain E3 ubiquitin protein ligase 3","B3KPV7"
"25245-22","RIC8A","RIC8 guanine nucleotide exchange factor A","Q0P508"
"25247-12","ARMC8","armadillo repeat containing 8","B7Z637"
"25248-28","NUMB","NUMB endocytic adaptor protein","B1P2N5"
"25249-33","PDHA2","pyruvate dehydrogenase E1 subunit alpha 2","B2R9Q3"
"25251-6","ENPP3","ectonucleotide pyrophosphatase/phosphodiesterase 3","A8KA38"
"25252-29","MTSS2","MTSS I-BAR domain containing 2","A6NJI7"
"25253-17","GNAS","GNAS complex locus","A0A0S2Z3H8"
"25255-4","TMUB1","transmembrane and ubiquitin like domain containing 1","A0A090N8Q3"
"25256-153","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","A8K9C4"
"25256-23","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","A8K9C4"
"25257-162","OLIG1","oligodendrocyte transcription factor 1","Q59EM0"
"25258-41","AFG2A","AFG2 AAA ATPase homolog A","Q8NB90"
"25259-7","CYBC1","cytochrome b-245 chaperone 1","E1B6X3"
"25260-62","FAM219B","family with sequence similarity 219 member B","A8K4Q5"
"25261-42","ANKS3","ankyrin repeat and sterile alpha motif domain containing 3","F6WF08"
"25262-6","ZW10","zw10 kinetochore protein","A1A528"
"25263-4","ARHGAP24","Rho GTPase activating protein 24","A0A2X0SFU2"
"25264-102","INPP5D","inositol polyphosphate-5-phosphatase D","O00145"
"25265-8","FNBP1","formin binding protein 1","A0A994J4A3"
"25266-14","OSBPL1A","oxysterol binding protein like 1A","Q6DKJ0"
"25267-10","HSPA12A","heat shock protein family A (Hsp70) member 12A","A0A1B0GTF3"
"25269-10","NRDC","nardilysin convertase","A6NI41"
"25270-3","PML","PML nuclear body scaffold","P29590"
"25272-17","CDH23","cadherin related 23","A0A087WYR8"
"25273-80","CALD1","caldesmon 1","A0A140VKA0"
"25274-2","ANKRD2","ankyrin repeat domain 2","B2RBQ4"
"25275-30","HDAC4","histone deacetylase 4","A0A7I2SVS4"
"25276-32","RABL6","RAB, member RAS oncogene family like 6","B3KXX7"
"25277-51","PANK1","pantothenate kinase 1","Q8TE04"
"25278-41","ARHGAP6","Rho GTPase activating protein 6","A8KAL3"
"25279-44","NVL","nuclear VCP like","O15381"
"25280-2","LIMD1","LIM domain containing 1","C9JRJ5"
"25281-50","DPP8","dipeptidyl peptidase 8","A8K4U2"
"25282-6","AZIN1","antizyme inhibitor 1","A0A804HKE3"
"25283-2","CTNNA3","catenin alpha 3","A8K141"
"25284-47","UBA6","ubiquitin like modifier activating enzyme 6","A0AVT1"
"25285-14","KBTBD11","kelch repeat and BTB domain containing 11","O94819"
"25286-33","RABGAP1L","RAB GTPase activating protein 1 like","Q5R372"
"25287-7","EIF4G1","eukaryotic translation initiation factor 4 gamma 1","B2RU10"
"25288-16","FMO3","flavin containing dimethylaniline monoxygenase 3","A0A024R8Z4"
"25291-27","PLEKHM2","pleckstrin homology and RUN domain containing M2","A0A2R8Y575"
"25292-4","CES3","carboxylesterase 3","Q6UWW8"
"25292-6","CES3","carboxylesterase 3","Q6UWW8"
"25296-3","AMOT","angiomotin","Q4VCS5"
"25297-11","SH3PXD2B","SH3 and PX domains 2B","A1X283"
"25298-53","KDM4C","lysine demethylase 4C","Q9H3R0"
"25299-11","NCOA7","nuclear receptor coactivator 7","B3KXK4"
"25300-39","MALT1","MALT1 paracaspase","A8K5S1"
"25301-48","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","Q13627"
"25306-51","DAXX","death domain associated protein","A0A024RCS3"
"25307-8","WDR18","WD repeat domain 18","A0A0A0MQU0"
"25308-8","LIMK1","LIM domain kinase 1","A8K297"
"25409-5","CCDC140","CCDC140 long non-coding RNA",NA
"25412-53","FXYD6","FXYD domain containing ion transport regulator 6","A8K0R4"
"25413-80","GAGE2C","G antigen 2C","B7ZVY3"
"25414-11","LCE3B","late cornified envelope 3B","Q5TA77"
"25416-5","PRX","periaxin","A0A669KBF1"
"25419-59","SPANXN4","SPANX family member N4","Q0ZNK6"
"25422-58","RPP40","ribonuclease P/MRP subunit p40","X6RLL4"
"25424-234","SYT12","synaptotagmin 12","A8K0V7"
"25428-103","IFRD1","interferon related developmental regulator 1","A0A6Q8PHD2"
"25433-25","NSUN6","NOP2/Sun RNA methyltransferase 6","B0YJ54"
"25436-44","SCCPDH","saccharopine dehydrogenase (putative)","A0A384NPM7"
"25437-18","ANKMY2","ankyrin repeat and MYND domain containing 2","A4D124"
"25438-288","NT5DC1","5'-nucleotidase domain containing 1","A8K2Z3"
"25444-29","INPP5A","inositol polyphosphate-5-phosphatase A","Q9C055"
"25446-34","DDI2","DNA damage inducible 1 homolog 2","A0AA34QVV2"
"25451-39","YAP1","Yes1 associated transcriptional regulator","B4DTY1"
"25452-16","MSANTD2","Myb/SANT DNA binding domain containing 2","A0A6I8PS01"
"25453-57","ROPN1B","rhophilin associated tail protein 1B","A0A140VKG6"
"25454-38","PRMT2","protein arginine methyltransferase 2","P55345"
"25456-73","PSMC5","proteasome 26S subunit, ATPase 5","A0A994J6V8"
"25459-3","MACROD2","mono-ADP ribosylhydrolase 2","A1Z1Q3"
"25460-36","IRF5","interferon regulatory factor 5","A0A0G2UUJ1"
"25461-3","SAG","S-antigen visual arrestin","A0FDN6"
"25463-3","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta","A4D0R9"
"25464-1","CYP2C19","cytochrome P450 family 2 subfamily C member 19","P33259"
"25465-42","MLIP","muscular LMNA interacting protein","Q5VWP3"
"25466-84","KMO","kynurenine 3-monooxygenase","A8K693"
"25468-5","SOX9","SRY-box transcription factor 9","B4DI77"
"25472-12","BEGAIN","brain enriched guanylate kinase associated","Q9BUH8"
"25473-62","FNTA","farnesyltransferase, CAAX box, subunit alpha","A6NJW0"
"25479-8","LRRFIP2","LRR binding FLII interacting protein 2","Q9Y608"
"25480-21","UBAC1","UBA domain containing 1","A0A140VK64"
"25481-66","ATXN10","ataxin 10","Q9UBB4"
"25482-5","NFIA","nuclear factor I A","B4DRJ3"
"25484-120","ARID3C","AT-rich interaction domain 3C","A6NKF2"
"25486-38","MRPL38","mitochondrial ribosomal protein L38","B2R894"
"25488-6","PLEKHO2","pleckstrin homology domain containing O2","Q8TD55"
"25491-54","LNPK","lunapark, ER junction formation factor","B7ZLA9"
"25492-7","TOM1","target of myb1 membrane trafficking protein","B4DKQ5"
"25493-11","FAM221B","family with sequence similarity 221 member B","A6H8Z2"
"25497-35","SEC14L4","SEC14 like lipid binding 4","Q6ICM2"
"25499-37","DDHD2","DDHD domain containing 2","B3KPM6"
"25500-6","RAB11FIP3","RAB11 family interacting protein 3","O75154"
"25501-128","CLNK","cytokine dependent hematopoietic cell linker","Q05C27"
"2558-51","POMC","proopiomelanocortin","P01189"
"2567-5","CFI","complement factor I","A8K3L0"
"2570-72","IGFBP2","insulin like growth factor binding protein 2","P18065"
"2571-12","IGFBP3","insulin like growth factor binding protein 3","A4D2F5"
"2573-20","IL6","interleukin 6","H9C875"
"2575-5","LEP","leptin","A4D0Y8"
"2578-67","CCL2","C-C motif chemokine ligand 2","B2R4V3"
"2579-17","MMP9","matrix metallopeptidase 9","B2R7V9"
"2580-83","MPO","myeloperoxidase","A1L4B8"
"2585-2","PRL","prolactin","A6XMH3"
"25879-6","KAT5","lysine acetyltransferase 5","Q59EJ8"
"25880-14","ALOX5","arachidonate 5-lipoxygenase","B7ZLS0"
"25886-11","ABCD4","ATP binding cassette subfamily D member 4","B7Z4V6"
"25889-108","AIM2","absent in melanoma 2","A0A8Q3WLZ2"
"25895-29","CASP5","caspase 5","P51878"
"25898-4","CHID1","chitinase domain containing 1","B3KWB0"
"2590-69","ROR1","receptor tyrosine kinase like orphan receptor 1","Q01973"
"25901-3","CRTC3","CREB regulated transcription coactivator 3","Q8TEF4"
"25902-27","GLUD1","glutamate dehydrogenase 1","B4E0N9"
"25904-17","DOCK2","dedicator of cytokinesis 2","A0A2X0SFD3"
"25906-5","EEF1A1","eukaryotic translation elongation factor 1 alpha 1","A8K9C4"
"25907-47","EML2","EMAP like 2","B7Z2F5"
"25910-1","FCGBP","Fc gamma binding protein","O95784"
"25912-131","FKBP1A","FKBP prolyl isomerase 1A","D3DVW6"
"25913-17","FTH1","ferritin heavy chain 1","B3KNR5"
"25917-12","HEXA","hexosaminidase subunit alpha","A0A0S2Z3W3"
"25918-60","HLA-E","major histocompatibility complex, class I, E","A0A0F7WBW2"
"25921-3","INHA","inhibin subunit alpha","A8K8H5"
"25922-7","LRP5","LDL receptor related protein 5","O75197"
"25926-29","LDB1","LIM domain binding 1","B4DUC4"
"25938-13","NEUROG3","neurogenin 3","Q5VVI0"
"25941-4","OASL","2'-5'-oligoadenylate synthetase like","Q15646"
"25947-116","PIK3C3","phosphatidylinositol 3-kinase catalytic subunit type 3","A8MYT4"
"25948-18","PKN2","protein kinase N2","Q16513"
"25949-3","PLCD3","phospholipase C delta 3","Q8N3E9"
"25951-17","PRAME","PRAME nuclear receptor transcriptional regulator","B2R6Y7"
"25954-3","PTPRN","protein tyrosine phosphatase receptor type N","A8K604"
"25956-9","RAPGEF1","Rap guanine nucleotide exchange factor 1","Q13905"
"25957-5","SRY","sex determining region Y","A0A411ELD0"
"25960-15","PLS3","plastin 3","A8K579"
"25962-51","WNK1","WNK lysine deficient protein kinase 1","Q9H4A3"
"25963-2","XPO5","exportin 5","A8K5Y7"
"25964-12","C1QTNF4","C1q and TNF related 4","A0A3B0J0L9"
"25967-34","TIMP1","TIMP metallopeptidase inhibitor 1","B3KQF4"
"2597-8","VEGFA","vascular endothelial growth factor A","J3KPA4"
"2598-9","TNFRSF9","TNF receptor superfamily member 9","Q07011"
"2599-51","TNFSF9","TNF superfamily member 9","A0A0U5J8I0"
"2602-2","ANGPT2","angiopoietin 2","B2R6E3"
"2603-61","CD80","CD80 molecule","A0N0P2"
"2605-49","TNFRSF8","TNF receptor superfamily member 8","B1AN79"
"2607-54","CRLF1","cytokine receptor like factor 1","A0A804HI12"
"2609-59","CST3","cystatin C","A0A0K0K1J1"
"2611-72","TYRO3","TYRO3 protein tyrosine kinase","H0YNK6"
"2612-5","EIF5","eukaryotic translation initiation factor 5","P55010"
"2614-28","EFNA4","ephrin A4","C9JHJ8"
"2615-60","EFNA5","ephrin A5","D6RDV5"
"2616-23","ERBB2","erb-b2 receptor tyrosine kinase 2","P04626"
"2617-56","ERBB3","erb-b2 receptor tyrosine kinase 3","P21860"
"2618-10","ERBB4","erb-b2 receptor tyrosine kinase 4","B7ZLD7"
"2619-72","TACSTD2","tumor associated calcium signal transducer 2","C5IX07"
"2620-4","IL6ST","interleukin 6 cytokine family signal transducer","A0A0A0N0L2"
"2622-18","HMOX2","heme oxygenase 2","A8MT35"
"2625-53","HSP90AA1","heat shock protein 90 alpha family class A member 1","P07900"
"2630-12","IL1RAP","interleukin 1 receptor accessory protein","A8K6K4"
"2631-50","IL10RB","interleukin 10 receptor subunit beta","H2DF06"
"2632-5","IL12RB1","interleukin 12 receptor subunit beta 1","P42701"
"2633-52","IL13RA1","interleukin 13 receptor subunit alpha 1","O95646"
"2634-2","IL2RG","interleukin 2 receptor subunit gamma","B2RC41"
"2635-61","LAYN","layilin","A6NJB0"
"2636-10","LTBR","lymphotoxin beta receptor","P36941"
"2637-77","MRC1","mannose receptor C-type 1","A5PKW3"
"2638-12","CSF1R","colony stimulating factor 1 receptor","B5A955"
"2640-3","MST1R","macrophage stimulating 1 receptor","H7C3Z8"
"2642-4","PAFAH1B2","platelet activating factor acetylhydrolase 1b catalytic subunit 2","P68402"
"2643-57","CDH3","cadherin 3","B4DLF0"
"2644-11","PRKCA","protein kinase C alpha","B5BU22"
"2645-54","PRKCZ","protein kinase C zeta","B3KUN5"
"2647-66","GDI2","GDP dissociation inhibitor 2","B4DLV7"
"2649-77","ICAM3","intercellular adhesion molecule 3","B2R736"
"2652-15","PLAUR","plasminogen activator, urokinase receptor","Q9UPI5"
"2654-19","TNFRSF1A","TNF receptor superfamily member 1A","A8K4X3"
"2658-27","NTRK3","neurotrophic receptor tyrosine kinase 3","Q96CY4"
"2665-26","TNFRSF17","TNF receptor superfamily member 17","Q02223"
"2666-53","DCN","decorin","P07585"
"2668-70","CAPNS1","calpain small subunit 1","A8K0P1"
"2670-67","CKM","creatine kinase, M-type","B2R892"
"2677-1","EGFR","epidermal growth factor receptor","F2YGG7"
"2681-23","HGF","hepatocyte growth factor","A1L3U6"
"2682-68","HSPD1","heat shock protein family D (Hsp60) member 1","A0A024R3W0"
"2683-1","C3","complement C3","A0A8Q3SI05"
"2685-21","IGFBP5","insulin like growth factor binding protein 5","P24593"
"2686-67","IGFBP6","insulin like growth factor binding protein 6","F8VYK9"
"2687-2","MIA","MIA SH3 domain containing","B4DXV6"
"2692-74","PLA2G2A","phospholipase A2 group IIA","A8K5I7"
"2693-20","OSM","oncostatin M","B5BUQ7"
"2695-25","PECAM1","platelet and endothelial cell adhesion molecule 1","A0A075B738"
"2696-87","PSPN","persephin","O60542"
"2697-7","PF4","platelet factor 4","P02776"
"2700-56","PROS1","protein S","A0A0S2Z4K3"
"2704-74","TNFRSF13B","TNF receptor superfamily member 13B","B2R8B0"
"2705-5","CCL25","C-C motif chemokine ligand 25","Q08AK2"
"2706-69","SERPINA7","serpin family A member 7","A0A3G1HEF1"
"2708-54","TNFSF18","TNF superfamily member 18","A0A0U5JXL4"
"2711-6","CNTFR","ciliary neurotrophic factor receptor","A0A0A0N0N2"
"2714-78","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1","B3KTR2"
"2715-25","EPOR","erythropoietin receptor","B2RCG4"
"2719-3","CSF3R","colony stimulating factor 3 receptor","Q1ZYL6"
"2723-9","IL37","interleukin 37","B5BU97"
"2728-62","TNC","tenascin C","E9PC84"
"2730-58","MICA","MHC class I polypeptide-related sequence A","A0A5P3YYA7"
"2731-29","POR","cytochrome p450 oxidoreductase","P16435"
"2732-58","NANOG","Nanog homeobox","A8K4D1"
"2734-49","NCR2","natural cytotoxicity triggering receptor 2","O95944"
"2737-22","CCN3","cellular communication network factor 3","B2R5X7"
"2741-22","SIGLEC6","sialic acid binding Ig like lectin 6","O43699"
"2742-68","SIGLEC7","sialic acid binding Ig like lectin 7","Q9Y286"
"2743-5","SHH","sonic hedgehog signaling molecule","A4D247"
"2744-57","IGHG3","immunoglobulin heavy constant gamma 3 (G3m marker)",NA
"2746-56","CRLF2","cytokine receptor like factor 2","Q9HC73"
"2747-3","ULBP3","UL16 binding protein 3","Q5VY82"
"2748-3","INHBA","inhibin subunit beta A","A4D1W7"
"2750-3","APOA1","apolipoprotein A1","A0A024R3E3"
